VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
486, 164, -0.3618,  6.03731E-06, -0.92011, -0.36594,  6.10641E-06, -0.93064,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.4279
487, 162, -0.32505, -6.33645E-06, -0.91496,  0.33476,  6.52584E-06,  0.9423,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.42283
488, 163, -0.33099,  6.03536E-06, -0.93166, -0.33477,  6.10430E-06, -0.9423,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.42283
489, 162, -0.32505, -6.33645E-06, -0.91496,  0.33476,  6.52584E-06,  0.9423,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.42283
490, 164, -0.3618,  6.03731E-06, -0.92011, -0.36594,  6.10641E-06, -0.93064,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.4279
491, 165, -0.3553, -6.33450E-06, -0.90361,  0.36593,  6.52397E-06,  0.93064,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.4279
492, 166, -0.39212,  6.03975E-06, -0.90757, -0.39662,  6.10905E-06, -0.91798,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.43295
493, 165, -0.3553, -6.33450E-06, -0.90361,  0.36593,  6.52397E-06,  0.93064,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.4279
494, 164, -0.3618,  6.03731E-06, -0.92011, -0.36594,  6.10641E-06, -0.93064,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.4279
495, 165, -0.3553, -6.33450E-06, -0.90361,  0.36593,  6.52397E-06,  0.93064,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.4279
496, 166, -0.39212,  6.03975E-06, -0.90757, -0.39662,  6.10905E-06, -0.91798,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.43295
497, 167, -0.38507, -6.33255E-06, -0.8913,  0.3966,  6.52217E-06,  0.91799,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.43295
498, 168, -0.42192,  6.04170E-06, -0.89406, -0.42678,  6.11124E-06, -0.90436,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.43799
499, 167, -0.38507, -6.33255E-06, -0.8913,  0.3966,  6.52217E-06,  0.91799,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.43295
500, 166, -0.39212,  6.03975E-06, -0.90757, -0.39662,  6.10905E-06, -0.91798,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.43295
501, 167, -0.38507, -6.33255E-06, -0.8913,  0.3966,  6.52217E-06,  0.91799,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.43295
502, 168, -0.42192,  6.04170E-06, -0.89406, -0.42678,  6.11124E-06, -0.90436,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.43799
503, 169, -0.41434, -6.33060E-06, -0.87804,  0.42676,  6.52039E-06,  0.90436,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.43799
504, 170, -0.45119,  6.04413E-06, -0.87961, -0.45641,  6.11395E-06, -0.88977,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44302
505, 169, -0.41434, -6.33060E-06, -0.87804,  0.42676,  6.52039E-06,  0.90436,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.43799
506, 168, -0.42192,  6.04170E-06, -0.89406, -0.42678,  6.11124E-06, -0.90436,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.43799
507, 169, -0.41434, -6.33060E-06, -0.87804,  0.42676,  6.52039E-06,  0.90436,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.43799
