VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
74, 26,  2.40663, -0.10,  2.54617,  0.68698,  0.00,  0.72667,  1.00,  1.00,  1.00,  1.00,  0.04807,  0.00907
75, 27,  2.40663,  9.70517E-08,  2.54617,  0.68698,  0.00,  0.72667,  1.00,  1.00,  1.00,  1.00,  0.04807,  0.0489
76, 25,  2.2445,  9.05139E-08,  2.63576,  0.64915,  0.00,  0.76066,  1.00,  1.00,  1.00,  1.00,  0.04572,  0.0489
77, 26,  2.40663, -0.10,  2.54617,  0.68698,  0.00,  0.72667,  1.00,  1.00,  1.00,  1.00,  0.04807,  0.00907
78, 27,  2.40663,  9.70517E-08,  2.54617,  0.68698,  0.00,  0.72667,  1.00,  1.00,  1.00,  1.00,  0.04807,  0.0489
79, 26,  2.40663, -0.10,  2.54617,  0.68698,  0.00,  0.72667,  1.00,  1.00,  1.00,  1.00,  0.04807,  0.00907
80, 28,  2.56295, -0.10,  2.45044,  0.72294,  0.00,  0.69091,  1.00,  1.00,  1.00,  1.00,  0.05042,  0.00907
81, 29,  2.56295,  1.03356E-07,  2.45044,  0.72294,  0.00,  0.69091,  1.00,  1.00,  1.00,  1.00,  0.05042,  0.0489
82, 27,  2.40663,  9.70517E-08,  2.54617,  0.68698,  0.00,  0.72667,  1.00,  1.00,  1.00,  1.00,  0.04807,  0.0489
83, 28,  2.56295, -0.10,  2.45044,  0.72294,  0.00,  0.69091,  1.00,  1.00,  1.00,  1.00,  0.05042,  0.00907
84, 29,  2.56295,  1.03356E-07,  2.45044,  0.72294,  0.00,  0.69091,  1.00,  1.00,  1.00,  1.00,  0.05042,  0.0489
85, 28,  2.56295, -0.10,  2.45044,  0.72294,  0.00,  0.69091,  1.00,  1.00,  1.00,  1.00,  0.05042,  0.00907
86, 30,  2.7131, -0.10,  2.34881,  0.75634,  0.00,  0.65418,  1.00,  1.00,  1.00,  1.00,  0.05276,  0.00907
87, 31,  2.7131,  1.09411E-07,  2.34881,  0.75634,  0.00,  0.65418,  1.00,  1.00,  1.00,  1.00,  0.05276,  0.0489
88, 29,  2.56295,  1.03356E-07,  2.45044,  0.72294,  0.00,  0.69091,  1.00,  1.00,  1.00,  1.00,  0.05042,  0.0489
89, 30,  2.7131, -0.10,  2.34881,  0.75634,  0.00,  0.65418,  1.00,  1.00,  1.00,  1.00,  0.05276,  0.00907
90, 31,  2.7131,  1.09411E-07,  2.34881,  0.75634,  0.00,  0.65418,  1.00,  1.00,  1.00,  1.00,  0.05276,  0.0489
91, 30,  2.7131, -0.10,  2.34881,  0.75634,  0.00,  0.65418,  1.00,  1.00,  1.00,  1.00,  0.05276,  0.00907
92, 32,  2.85671, -0.10,  2.24153,  0.78664,  0.00,  0.61742,  1.00,  1.00,  1.00,  1.00,  0.05511,  0.00907
93, 33,  2.85671,  1.15202E-07,  2.24153,  0.78664,  0.00,  0.61742,  1.00,  1.00,  1.00,  1.00,  0.05511,  0.0489
94, 31,  2.7131,  1.09411E-07,  2.34881,  0.75634,  0.00,  0.65418,  1.00,  1.00,  1.00,  1.00,  0.05276,  0.0489
95, 32,  2.85671, -0.10,  2.24153,  0.78664,  0.00,  0.61742,  1.00,  1.00,  1.00,  1.00,  0.05511,  0.00907
96, 33,  2.85671,  1.15202E-07,  2.24153,  0.78664,  0.00,  0.61742,  1.00,  1.00,  1.00,  1.00,  0.05511,  0.0489
97, 32,  2.85671, -0.10,  2.24153,  0.78664,  0.00,  0.61742,  1.00,  1.00,  1.00,  1.00,  0.05511,  0.00907
98, 34,  2.99344, -0.10,  2.12884,  0.81476,  0.00,  0.57979,  1.00,  1.00,  1.00,  1.00,  0.05746,  0.00907
99, 35,  2.99344,  1.20716E-07,  2.12884,  0.81476,  0.00,  0.57979,  1.00,  1.00,  1.00,  1.00,  0.05746,  0.0489
100, 33,  2.85671,  1.15202E-07,  2.24153,  0.78664,  0.00,  0.61742,  1.00,  1.00,  1.00,  1.00,  0.05511,  0.0489
101, 34,  2.99344, -0.10,  2.12884,  0.81476,  0.00,  0.57979,  1.00,  1.00,  1.00,  1.00,  0.05746,  0.00907
102, 35,  2.99344,  1.20716E-07,  2.12884,  0.81476,  0.00,  0.57979,  1.00,  1.00,  1.00,  1.00,  0.05746,  0.0489
103, 34,  2.99344, -0.10,  2.12884,  0.81476,  0.00,  0.57979,  1.00,  1.00,  1.00,  1.00,  0.05746,  0.00907
104, 36,  3.12296, -0.10,  2.01103,  0.84018,  0.00,  0.5423,  1.00,  1.00,  1.00,  1.00,  0.05981,  0.00907
105, 37,  3.12296,  1.25939E-07,  2.01103,  0.84018,  0.00,  0.5423,  1.00,  1.00,  1.00,  1.00,  0.05981,  0.0489
106, 35,  2.99344,  1.20716E-07,  2.12884,  0.81476,  0.00,  0.57979,  1.00,  1.00,  1.00,  1.00,  0.05746,  0.0489
107, 36,  3.12296, -0.10,  2.01103,  0.84018,  0.00,  0.5423,  1.00,  1.00,  1.00,  1.00,  0.05981,  0.00907
108, 36,  3.12296, -0.10,  2.01103,  0.84018,  0.00,  0.5423,  1.00,  1.00,  1.00,  1.00,  0.05981,  0.00907
109, 38,  3.24496, -0.10,  1.88837,  0.86389,  0.00,  0.50368,  1.00,  1.00,  1.00,  1.00,  0.06216,  0.00907
110, 37,  3.12296,  1.25939E-07,  2.01103,  0.84018,  0.00,  0.5423,  1.00,  1.00,  1.00,  1.00,  0.05981,  0.0489
111, 37,  3.12296,  1.25939E-07,  2.01103,  0.84018,  0.00,  0.5423,  1.00,  1.00,  1.00,  1.00,  0.05981,  0.0489
112, 38,  3.24496, -0.10,  1.88837,  0.86389,  0.00,  0.50368,  1.00,  1.00,  1.00,  1.00,  0.06216,  0.00907
113, 39,  3.24496,  1.30859E-07,  1.88837,  0.86389,  0.00,  0.50368,  1.00,  1.00,  1.00,  1.00,  0.06216,  0.0489
114, 38,  3.24496, -0.10,  1.88837,  0.86389,  0.00,  0.50368,  1.00,  1.00,  1.00,  1.00,  0.06216,  0.00907
115, 40,  3.35914, -0.10,  1.76116,  0.88571,  0.00,  0.46424,  1.00,  1.00,  1.00,  1.00,  0.0645,  0.00907
116, 39,  3.24496,  1.30859E-07,  1.88837,  0.86389,  0.00,  0.50368,  1.00,  1.00,  1.00,  1.00,  0.06216,  0.0489
117, 39,  3.24496,  1.30859E-07,  1.88837,  0.86389,  0.00,  0.50368,  1.00,  1.00,  1.00,  1.00,  0.06216,  0.0489
118, 40,  3.35914, -0.10,  1.76116,  0.88571,  0.00,  0.46424,  1.00,  1.00,  1.00,  1.00,  0.0645,  0.00907
119, 41,  3.35914,  1.35464E-07,  1.76116,  0.88571,  0.00,  0.46424,  1.00,  1.00,  1.00,  1.00,  0.0645,  0.0489
120, 40,  3.35914, -0.10,  1.76116,  0.88571,  0.00,  0.46424,  1.00,  1.00,  1.00,  1.00,  0.0645,  0.00907
121, 42,  3.46522, -0.10,  1.6297,  0.90513,  0.00,  0.42514,  1.00,  1.00,  1.00,  1.00,  0.06685,  0.00907
122, 41,  3.35914,  1.35464E-07,  1.76116,  0.88571,  0.00,  0.46424,  1.00,  1.00,  1.00,  1.00,  0.0645,  0.0489
123, 41,  3.35914,  1.35464E-07,  1.76116,  0.88571,  0.00,  0.46424,  1.00,  1.00,  1.00,  1.00,  0.0645,  0.0489
124, 42,  3.46522, -0.10,  1.6297,  0.90513,  0.00,  0.42514,  1.00,  1.00,  1.00,  1.00,  0.06685,  0.00907
125, 43,  3.46522,  1.39742E-07,  1.6297,  0.90513,  0.00,  0.42514,  1.00,  1.00,  1.00,  1.00,  0.06685,  0.0489
126, 42,  3.46522, -0.10,  1.6297,  0.90513,  0.00,  0.42514,  1.00,  1.00,  1.00,  1.00,  0.06685,  0.00907
127, 44,  3.56296, -0.10,  1.49433,  0.92235,  0.00,  0.38635,  1.00,  1.00,  1.00,  1.00,  0.0692,  0.00907
128, 43,  3.46522,  1.39742E-07,  1.6297,  0.90513,  0.00,  0.42514,  1.00,  1.00,  1.00,  1.00,  0.06685,  0.0489
129, 43,  3.46522,  1.39742E-07,  1.6297,  0.90513,  0.00,  0.42514,  1.00,  1.00,  1.00,  1.00,  0.06685,  0.0489
130, 44,  3.56296, -0.10,  1.49433,  0.92235,  0.00,  0.38635,  1.00,  1.00,  1.00,  1.00,  0.0692,  0.00907
131, 45,  3.56296,  1.43683E-07,  1.49433,  0.92235,  0.00,  0.38635,  1.00,  1.00,  1.00,  1.00,  0.0692,  0.0489
132, 44,  3.56296, -0.10,  1.49433,  0.92235,  0.00,  0.38635,  1.00,  1.00,  1.00,  1.00,  0.0692,  0.00907
133, 46,  3.65212, -0.10,  1.35535,  0.93745,  0.00,  0.34811,  1.00,  1.00,  1.00,  1.00,  0.07155,  0.00907
134, 45,  3.56296,  1.43683E-07,  1.49433,  0.92235,  0.00,  0.38635,  1.00,  1.00,  1.00,  1.00,  0.0692,  0.0489
135, 45,  3.56296,  1.43683E-07,  1.49433,  0.92235,  0.00,  0.38635,  1.00,  1.00,  1.00,  1.00,  0.0692,  0.0489
136, 46,  3.65212, -0.10,  1.35535,  0.93745,  0.00,  0.34811,  1.00,  1.00,  1.00,  1.00,  0.07155,  0.00907
137, 47,  3.65212,  1.47279E-07,  1.35535,  0.93745,  0.00,  0.34811,  1.00,  1.00,  1.00,  1.00,  0.07155,  0.0489
138, 46,  3.65212, -0.10,  1.35535,  0.93745,  0.00,  0.34811,  1.00,  1.00,  1.00,  1.00,  0.07155,  0.00907
139, 48,  3.73247, -0.10,  1.2131,  0.95117,  0.00,  0.30867,  1.00,  1.00,  1.00,  1.00,  0.0739,  0.00907
140, 47,  3.65212,  1.47279E-07,  1.35535,  0.93745,  0.00,  0.34811,  1.00,  1.00,  1.00,  1.00,  0.07155,  0.0489
141, 47,  3.65212,  1.47279E-07,  1.35535,  0.93745,  0.00,  0.34811,  1.00,  1.00,  1.00,  1.00,  0.07155,  0.0489
142, 48,  3.73247, -0.10,  1.2131,  0.95117,  0.00,  0.30867,  1.00,  1.00,  1.00,  1.00,  0.0739,  0.00907
143, 49,  3.73247,  1.50519E-07,  1.2131,  0.95117,  0.00,  0.30867,  1.00,  1.00,  1.00,  1.00,  0.0739,  0.0489
144, 48,  3.73247, -0.10,  1.2131,  0.95117,  0.00,  0.30867,  1.00,  1.00,  1.00,  1.00,  0.0739,  0.00907
145, 50,  3.80384, -0.10,  1.06794,  0.96273,  0.00,  0.27048,  1.00,  1.00,  1.00,  1.00,  0.07624,  0.00907
146, 49,  3.73247,  1.50519E-07,  1.2131,  0.95117,  0.00,  0.30867,  1.00,  1.00,  1.00,  1.00,  0.0739,  0.0489
147, 49,  3.73247,  1.50519E-07,  1.2131,  0.95117,  0.00,  0.30867,  1.00,  1.00,  1.00,  1.00,  0.0739,  0.0489
148, 50,  3.80384, -0.10,  1.06794,  0.96273,  0.00,  0.27048,  1.00,  1.00,  1.00,  1.00,  0.07624,  0.00907
149, 51,  3.80384,  1.53397E-07,  1.06794,  0.96273,  0.00,  0.27048,  1.00,  1.00,  1.00,  1.00,  0.07624,  0.0489
150, 50,  3.80384, -0.10,  1.06794,  0.96273,  0.00,  0.27048,  1.00,  1.00,  1.00,  1.00,  0.07624,  0.00907
151, 52,  3.86604, -0.10,  0.9202,  0.97295,  0.00,  0.23104,  1.00,  1.00,  1.00,  1.00,  0.07859,  0.00907
152, 51,  3.80384,  1.53397E-07,  1.06794,  0.96273,  0.00,  0.27048,  1.00,  1.00,  1.00,  1.00,  0.07624,  0.0489
153, 51,  3.80384,  1.53397E-07,  1.06794,  0.96273,  0.00,  0.27048,  1.00,  1.00,  1.00,  1.00,  0.07624,  0.0489
154, 52,  3.86604, -0.10,  0.9202,  0.97295,  0.00,  0.23104,  1.00,  1.00,  1.00,  1.00,  0.07859,  0.00907
155, 53,  3.86604,  1.55905E-07,  0.9202,  0.97295,  0.00,  0.23104,  1.00,  1.00,  1.00,  1.00,  0.07859,  0.0489
156, 52,  3.86604, -0.10,  0.9202,  0.97295,  0.00,  0.23104,  1.00,  1.00,  1.00,  1.00,  0.07859,  0.00907
157, 54,  3.91893, -0.10,  0.77025,  0.98125,  0.00,  0.19275,  1.00,  1.00,  1.00,  1.00,  0.08094,  0.00907
158, 53,  3.86604,  1.55905E-07,  0.9202,  0.97295,  0.00,  0.23104,  1.00,  1.00,  1.00,  1.00,  0.07859,  0.0489
159, 53,  3.86604,  1.55905E-07,  0.9202,  0.97295,  0.00,  0.23104,  1.00,  1.00,  1.00,  1.00,  0.07859,  0.0489
160, 54,  3.91893, -0.10,  0.77025,  0.98125,  0.00,  0.19275,  1.00,  1.00,  1.00,  1.00,  0.08094,  0.00907
