VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD2.x, in_TEXCOORD2.y, in_BLENDWEIGHTS0.x, in_BLENDWEIGHTS0.y, in_BLENDWEIGHTS0.z, in_BLENDWEIGHTS0.w, in_BLENDINDICES0.x, in_BLENDINDICES0.y, in_BLENDINDICES0.z, in_BLENDINDICES0.w
381, 84,  0.2758,  1.48031,  0.10811,  0.17664, -0.59033, -0.7876,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.07587,  0.74121,  0.07587,  0.74121,  0.07587,  0.75236,  0.24764,  0.00,  0.00, 1, 5, 0, 0
382, 85,  0.31598,  1.44857,  0.13582,  0.09711, -0.61768, -0.78076,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.0752,  1.00,  0.0752,  1.00,  0.0752,  0.70027,  0.29973,  0.00,  0.00, 1, 5, 0, 0
383, 86,  0.28349,  1.42441,  0.15565,  0.29175, -0.59814, -0.74609,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03906,  1.00,  0.03906,  1.00,  0.03906,  0.56878,  0.43122,  0.00,  0.00, 1, 5, 0, 0
384, 75,  0.35662,  1.54542,  0.05801, -0.15198, -0.60547, -0.78125,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.16162,  0.74121,  0.16162,  0.74121,  0.16162,  0.93164,  0.05176,  0.01659,  0.00, 1, 0, 5, 0
385, 87,  0.27148,  1.54806,  0.05575,  0.08392, -0.55957, -0.82471,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.11505,  0.4812,  0.11505,  0.4812,  0.11505,  0.92198,  0.07802,  0.00,  0.00, 1, 5, 0, 0
386, 77,  0.31915,  1.58797,  0.02775, -0.08331, -0.56055, -0.82373,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.16162,  0.4812,  0.16162,  0.4812,  0.16162,  0.9227,  0.06827,  0.00905,  0.00, 1, 0, 5, 0
387, 75,  0.35662,  1.54542,  0.05801, -0.15198, -0.60547, -0.78125,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.16162,  0.74121,  0.16162,  0.74121,  0.16162,  0.93164,  0.05176,  0.01659,  0.00, 1, 0, 5, 0
388, 82,  0.30997,  1.51249,  0.0868,  0.00642, -0.60742, -0.79443,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.11505,  0.74121,  0.11505,  0.74121,  0.11505,  0.89169,  0.10831,  0.00,  0.00, 1, 5, 0, 0
389, 87,  0.27148,  1.54806,  0.05575,  0.08392, -0.55957, -0.82471,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.11505,  0.4812,  0.11505,  0.4812,  0.11505,  0.92198,  0.07802,  0.00,  0.00, 1, 5, 0, 0
390, 77,  0.31915,  1.58797,  0.02775, -0.08331, -0.56055, -0.82373,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.16162,  0.4812,  0.16162,  0.4812,  0.16162,  0.9227,  0.06827,  0.00905,  0.00, 1, 0, 5, 0
391, 87,  0.27148,  1.54806,  0.05575,  0.08392, -0.55957, -0.82471,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.11505,  0.4812,  0.11505,  0.4812,  0.11505,  0.92198,  0.07802,  0.00,  0.00, 1, 5, 0, 0
392, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
393, 84,  0.2758,  1.48031,  0.10811,  0.17664, -0.59033, -0.7876,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.07587,  0.74121,  0.07587,  0.74121,  0.07587,  0.75236,  0.24764,  0.00,  0.00, 1, 5, 0, 0
394, 87,  0.27148,  1.54806,  0.05575,  0.08392, -0.55957, -0.82471,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.11505,  0.4812,  0.11505,  0.4812,  0.11505,  0.92198,  0.07802,  0.00,  0.00, 1, 5, 0, 0
395, 82,  0.30997,  1.51249,  0.0868,  0.00642, -0.60742, -0.79443,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.11505,  0.74121,  0.11505,  0.74121,  0.11505,  0.89169,  0.10831,  0.00,  0.00, 1, 5, 0, 0
396, 88,  0.19605,  1.5371,  0.04552,  0.32031, -0.38062, -0.86768,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.07751,  0.21338,  0.07751,  0.21338,  0.07751,  0.80009,  0.19991,  0.00,  0.00, 1, 5, 0, 0
397, 81,  0.18596,  1.62162,  0.01029,  0.0907, -0.36328, -0.92725,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.11505,  0.00006,  0.11505,  0.00006,  0.11505,  0.93893,  0.06107,  0.00,  0.00, 1, 5, 0, 0
398, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
399, 88,  0.19605,  1.5371,  0.04552,  0.32031, -0.38062, -0.86768,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.07751,  0.21338,  0.07751,  0.21338,  0.07751,  0.80009,  0.19991,  0.00,  0.00, 1, 5, 0, 0
400, 89,  0.15242,  1.56542,  0.01937,  0.32788, -0.30591, -0.89404,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00007,  0.07745,  0.00007,  0.07745,  0.00007,  0.07745,  0.81451,  0.18549,  0.00,  0.00, 1, 5, 0, 0
401, 81,  0.18596,  1.62162,  0.01029,  0.0907, -0.36328, -0.92725,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.11505,  0.00006,  0.11505,  0.00006,  0.11505,  0.93893,  0.06107,  0.00,  0.00, 1, 5, 0, 0
402, 90,  0.12393,  1.51369,  0.01444,  0.51416, -0.23779, -0.82422,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00007,  0.03906,  0.00007,  0.03906,  0.00007,  0.03906,  0.68305,  0.31695,  0.00,  0.00, 1, 5, 0, 0
403, 89,  0.15242,  1.56542,  0.01937,  0.32788, -0.30591, -0.89404,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00007,  0.07745,  0.00007,  0.07745,  0.00007,  0.07745,  0.81451,  0.18549,  0.00,  0.00, 1, 5, 0, 0
404, 88,  0.19605,  1.5371,  0.04552,  0.32031, -0.38062, -0.86768,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.07751,  0.21338,  0.07751,  0.21338,  0.07751,  0.80009,  0.19991,  0.00,  0.00, 1, 5, 0, 0
405, 91,  0.23855,  1.51069,  0.07528,  0.27588, -0.51074, -0.81445,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.07715,  0.4812,  0.07715,  0.4812,  0.07715,  0.79983,  0.20017,  0.00,  0.00, 1, 5, 0, 0
406, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
407, 87,  0.27148,  1.54806,  0.05575,  0.08392, -0.55957, -0.82471,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.11505,  0.4812,  0.11505,  0.4812,  0.11505,  0.92198,  0.07802,  0.00,  0.00, 1, 5, 0, 0
408, 91,  0.23855,  1.51069,  0.07528,  0.27588, -0.51074, -0.81445,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.07715,  0.4812,  0.07715,  0.4812,  0.07715,  0.79983,  0.20017,  0.00,  0.00, 1, 5, 0, 0
409, 88,  0.19605,  1.5371,  0.04552,  0.32031, -0.38062, -0.86768,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.07751,  0.21338,  0.07751,  0.21338,  0.07751,  0.80009,  0.19991,  0.00,  0.00, 1, 5, 0, 0
410, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
411, 84,  0.2758,  1.48031,  0.10811,  0.17664, -0.59033, -0.7876,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.07587,  0.74121,  0.07587,  0.74121,  0.07587,  0.75236,  0.24764,  0.00,  0.00, 1, 5, 0, 0
412, 91,  0.23855,  1.51069,  0.07528,  0.27588, -0.51074, -0.81445,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.07715,  0.4812,  0.07715,  0.4812,  0.07715,  0.79983,  0.20017,  0.00,  0.00, 1, 5, 0, 0
413, 87,  0.27148,  1.54806,  0.05575,  0.08392, -0.55957, -0.82471,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.11505,  0.4812,  0.11505,  0.4812,  0.11505,  0.92198,  0.07802,  0.00,  0.00, 1, 5, 0, 0
414, 90,  0.12393,  1.51369,  0.01444,  0.51416, -0.23779, -0.82422,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00007,  0.03906,  0.00007,  0.03906,  0.00007,  0.03906,  0.68305,  0.31695,  0.00,  0.00, 1, 5, 0, 0
415, 88,  0.19605,  1.5371,  0.04552,  0.32031, -0.38062, -0.86768,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.07751,  0.21338,  0.07751,  0.21338,  0.07751,  0.80009,  0.19991,  0.00,  0.00, 1, 5, 0, 0
416, 92,  0.16455,  1.48929,  0.04764,  0.50879, -0.3042, -0.80518,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.03906,  0.21338,  0.03906,  0.21338,  0.03906,  0.64627,  0.35373,  0.00,  0.00, 1, 5, 0, 0
417, 91,  0.23855,  1.51069,  0.07528,  0.27588, -0.51074, -0.81445,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.07715,  0.4812,  0.07715,  0.4812,  0.07715,  0.79983,  0.20017,  0.00,  0.00, 1, 5, 0, 0
418, 92,  0.16455,  1.48929,  0.04764,  0.50879, -0.3042, -0.80518,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.03906,  0.21338,  0.03906,  0.21338,  0.03906,  0.64627,  0.35373,  0.00,  0.00, 1, 5, 0, 0
419, 88,  0.19605,  1.5371,  0.04552,  0.32031, -0.38062, -0.86768,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.07751,  0.21338,  0.07751,  0.21338,  0.07751,  0.80009,  0.19991,  0.00,  0.00, 1, 5, 0, 0
420, 93,  0.10881,  1.46355,  0.01345,  0.58301, -0.22583, -0.78027,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00008, -0.00004,  0.00008, -0.00004,  0.00008, -0.00004,  0.55714,  0.44286,  0.00,  0.00, 1, 5, 0, 0
421, 90,  0.12393,  1.51369,  0.01444,  0.51416, -0.23779, -0.82422,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00007,  0.03906,  0.00007,  0.03906,  0.00007,  0.03906,  0.68305,  0.31695,  0.00,  0.00, 1, 5, 0, 0
422, 92,  0.16455,  1.48929,  0.04764,  0.50879, -0.3042, -0.80518,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.03906,  0.21338,  0.03906,  0.21338,  0.03906,  0.64627,  0.35373,  0.00,  0.00, 1, 5, 0, 0
423, 93,  0.10881,  1.46355,  0.01345,  0.58301, -0.22583, -0.78027,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00008, -0.00004,  0.00008, -0.00004,  0.00008, -0.00004,  0.55714,  0.44286,  0.00,  0.00, 1, 5, 0, 0
424, 92,  0.16455,  1.48929,  0.04764,  0.50879, -0.3042, -0.80518,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.03906,  0.21338,  0.03906,  0.21338,  0.03906,  0.64627,  0.35373,  0.00,  0.00, 1, 5, 0, 0
425, 94,  0.14131,  1.43711,  0.04959,  0.5752, -0.29761, -0.76221,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338, -0.00004,  0.21338, -0.00004,  0.21338, -0.00004,  0.50649,  0.49351,  0.00,  0.00, 5, 1, 0, 0
426, 91,  0.23855,  1.51069,  0.07528,  0.27588, -0.51074, -0.81445,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.07715,  0.4812,  0.07715,  0.4812,  0.07715,  0.79983,  0.20017,  0.00,  0.00, 1, 5, 0, 0
427, 95,  0.20477,  1.46777,  0.08324,  0.46777, -0.43848, -0.76758,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.03906,  0.4812,  0.03906,  0.4812,  0.03906,  0.63503,  0.36497,  0.00,  0.00, 1, 5, 0, 0
428, 92,  0.16455,  1.48929,  0.04764,  0.50879, -0.3042, -0.80518,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.03906,  0.21338,  0.03906,  0.21338,  0.03906,  0.64627,  0.35373,  0.00,  0.00, 1, 5, 0, 0
429, 95,  0.20477,  1.46777,  0.08324,  0.46777, -0.43848, -0.76758,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.03906,  0.4812,  0.03906,  0.4812,  0.03906,  0.63503,  0.36497,  0.00,  0.00, 1, 5, 0, 0
